你给的名字,实际订到,作者,更新频率,官方 transcript,最近更新,匹配分,需核对,feed
AI Ascent,ASCENT,Fangdi Pan & Linda Zhang,近 30 天无更新,无官方,2026-06-28,40.0,⚠️,
ACQ2 by Acquired,ACQ2 by Acquired,Ben Gilbert and David Rosenthal,近 30 天无更新,无官方（notes 877 字符）,2025-12-07,140,,https://feeds.transistor.fm/acq2
Basis Points,Basis Points,Equity Mates Media,约每周（30天 4 集）,"无官方（notes 2,305 字符）",2026-08-04,140,,https://feeds.acast.com/public/shows/67bbf55519249d0c1a4bb224
Capital Allocators,Capital Allocators – Inside the Institutional Investment Industry,Ted Seides – Allocator and Asset Management Expert,每周多集（30天 9 集）,"无官方（notes 1,075 字符）",2026-08-05,85,,https://rss.libsyn.com/shows/94820/destinations/482814.xml
Chat With Traders,Chat With Traders,Kevin Avery,偶发（30天 2 集）,无官方（notes 901 字符）,2026-08-05,140,,https://feeds.megaphone.fm/CWT9205947236
David Senra,Founders,David Senra,约每周（30天 4 集）,"无官方（notes 3,802 字符）",2026-08-01,140.0,,https://feeds.megaphone.fm/DSLLC6297708582
Exponent,Exponent,Ben Thompson / James Allworth,—,—,2022-12-09,140,,https://exponent.fm/feed/
FP&A Today,FP&A Today,Glenn Hopper,偶发（30天 1 集）,"无官方（notes 1,065 字符）",2026-07-26,140,,https://feed.podbean.com/FPAtoday/feed.xml
Generating Alpha,Generating Alpha Podcast,Amir Fischer,近 30 天无更新,"无官方（notes 1,491 字符）",2026-07-08,100,,https://anchor.fm/s/e79435d0/podcast/rss
Global Research Unlocked,Global Research Unlocked,BofA Global Research,每周多集（30天 18 集）,"无官方（notes 1,362 字符）",2026-08-07,140,,https://feed.podbean.com/bofaglobalresearch/feed.xml
Grit,Grit,Kleiner Perkins,偶发（30天 2 集）,"无官方（notes 1,948 字符）",2026-07-27,140.0,,https://feeds.transistor.fm/go-to-market-grit
In Good Company,In Good Company with Nicolai Tangen,Norges Bank Investment Management,每周多集（30天 9 集）,"无官方（notes 1,506 字符）",2026-08-07,100,,https://feeds.acast.com/public/shows/622618c7057f3400120d15db
In the Know,In the Know,Bernstein Research,偶发（30天 1 集）,无官方（notes 507 字符）,2026-07-15,140,,https://feeds.acast.com/public/shows/646f3701b33b760010466789
Investing In Integrity,Investing In Integrity,Scholars of Finance,偶发（30天 1 集）,"无官方（notes 1,495 字符）",2026-07-16,140,,https://anchor.fm/s/2221ba98/podcast/rss
Latent Space,Latent Space: The AI Engineer Podcast,Latent.Space,约每周（30天 5 集）,"无官方（notes 63,507 字符）",2026-08-03,100,,https://api.substack.com/feed/podcast/1084089.rss
Lenny's Podcast,Lenny's Podcast: Product | Career | Growth,Lenny Rachitsky,约每周（30天 5 集）,"无官方（notes 4,705 字符）",2026-08-02,100,,https://api.substack.com/feed/podcast/10845.rss
Lex Fridman Podcast,Lex Fridman Podcast,Lex Fridman,偶发（30天 1 集）,"无官方（notes 2,296 字符）",2026-07-28,140,,https://lexfridman.com/feed/podcast/
Longriver Podcast,Longriver Podcast,Graham Rhodes,近 30 天无更新,"无官方（notes 1,031 字符）",2026-04-21,140,,https://anchor.fm/s/63e575dc/podcast/rss
Masters of Scale,Masters of Scale,WaitWhat,每周多集（30天 10 集）,无官方（notes 855 字符）,2026-08-06,140,,https://rss.art19.com/masters-of-scale
Odds on Open,Odds on Open,Ethan Kho,约每周（30天 5 集）,"无官方（notes 2,221 字符）",2026-08-06,140,,https://anchor.fm/s/101506278/podcast/rss
Sharp Tech with Ben Thompson,Sharp Tech with Ben Thompson,Andrew Sharp and Ben Thompson,—,—,2026-07-23,140,,https://sharptech.fm/feed/podcast
Short Briefings on Long Term Thinking,Short Briefings on Long Term Thinking - Baillie Gifford,Baillie Gifford,偶发（30天 1 集）,✅ 官方 53%,2026-08-04,100,,https://feeds.blubrry.com/feeds/short_briefings.xml
Talks at GS,Talks at GS,Goldman Sachs,约每周（30天 4 集）,"无官方（notes 1,550 字符）",2026-08-05,140,,https://feeds.megaphone.fm/GLD3069230077
The Cognitive Revolution,"""The Cognitive Revolution"" | AI Builders, Researchers, and Live Player Analysis","Erik Torenberg, Nathan Labenz",约每周（30天 6 集）,"无官方（notes 3,109 字符）",2026-08-05,100,,https://feeds.megaphone.fm/RINTP3108857801
The Long-Short,The Long-Short,AIMA,约每周（30天 3 集）,无官方（notes 577 字符）,2026-08-05,140,,https://feeds.acast.com/public/shows/636b781f4a382300110bb134
The Turnaround Podcast,The Turnaround Podcast,Stephen Phillips,近 30 天无更新,"无官方（notes 2,205 字符）",2026-06-22,140,,https://anchor.fm/s/f4a34090/podcast/rss
UBS Global Research Pod Hub,UBS Global Research Pod Hub,UBS Global Research,偶发（30天 2 集）,无官方（notes 420 字符）,2026-08-06,140,,https://www.ubs.com/global/en/investment-bank/insights-and-data/global-research/_jcr_content/root/contentarea/mainpar/toplevelgrid_copy/col_1/responsivepodcast.itunes.xml
Y Combinator Startup Podcast,Y Combinator Startup Podcast,Y Combinator,每周多集（30天 13 集）,无官方（notes 487 字符）,2026-08-07,140,,https://anchor.fm/s/8c1524bc/podcast/rss
